Class		Comments	BComments	NumOfLines	WhileCount	ForCount	IfCondCount	BracketCount	AllSpaces	CSS	Assignment	AssignOpp	Equality	EqualityOpp	OpenParenL	OpenParenR	OpenParenOpp	CloseParenL	CloseParenR	CloseParenOpp		IfParen	IfParenCond	IfCondParen	WhileParen	WhileParenCond	WhileCondParen	ForParen	ForParenVar	ForVarSemi	ForSemiCond	ForCondSemi	ForSemiInc	ForIncParen	ForParenBracketx`
Ilan		27		7		348		3		11		27		0		0		125		146		146		136		274		0		28		53		14		14		53		0		23		11		0		2		2		0		3		1		3		1		3		1		0
Ilan		27		2		182		2		8		10		0		0		111		88		88		86		180		4		7		31		5		12		31		0		5		2		0		1		1		0		0		0		5		2		5		0		0
Ilan		22		2		160		2		8		9		0		0		87		78		78		59		146		2		5		26		5		10		26		0		3		2		0		1		1		0		0		0		5		3		5		0		0
Ilan		8		2		297		3		3		14		0		0		75		140		142		54		126		1		11		32		5		12		32		0		8		4		0		2		0		0		0		0		1		0		1		0		0
Ilan		13		8		356		6		8		10		0		0		112		201		212		75		172		6		12		40		6		15		40		0		7		3		0		5		3		0		0		0		6		0		6		0		0
Joe		70		4		667		9		5		44		37		0		169		177		224		76		164		14		1		85		4		41		85		7		0		3		7		0		0		0		1		0		3		0		3		1		3
Joe		66		9		498		4		5		18		23		0		94		124		146		69		202		16		0		66		1		33		66		9		0		1		3		0		0		2		0		0		5		0		5		0		2
Joe		112		7		807		8		19		33		15		0		258		264		312		126		254		16		13		67		11		35		67		8		5		3		5		0		0		2		5		2		17		0		19		5		10
Joe		49		5		580		8		24		25		2		0		243		184		184		112		344		10		8		78		2		15		78		5		3		0		2		2		2		2		3		0		24		0		24		0		2
Joe		110		7		764		10		24		27		14		0		236		304		310		170		434		18		0		82		0		23		82		10		0		0		6		0		0		0		0		0		24		0		23		0		2
Nina		20		8		297		4		11		12		1		0		126		130		130		55		134		27		0		30		0		11		30		12		0		0		4		0		0		11		0		0		5		0		5		0		0
Nina		46		0		358		5		10		12		6		0		145		111		112		61		114		17		10		34		10		24		34		6		4		4		5		0		0		5		3		2		8		0		8		3		7
Nina		12		1		214		2		7		11		0		0		92		68		78		43		72		13		2		21		2		11		21		7		1		1		2		0		0		4		1		0		7		0		7		1		2
Nina		34		2		370		2		3		26		0		0		91		101		112		85		136		23		1		56		3		16		56		19		1		3		2		0		0		2		0		0		2		0		2		0		0
Nina		7		0		197		0		1		4		0		0		9		184		184		7		144		2		0		7		0		3		7		1		0		0		0		0		0		1		0		0		0		0		0		0		0
Person1		0		1		78		2		4		8		9		0		23		17		22		6		38		3		1		18		1		16		18		1		1		1		0		0		0		0		0		0		2		0		1		0		4
Person1		1		1		164		0		12		18		22		0		80		62		70		19		70		5		0		54		5		43		54		0		0		4		0		0		0		1		0		0		3		0		3		0		12
Person1		1		1		85		0		7		5		11		0		46		37		38		6		46		5		2		18		3		15		18		1		1		2		0		0		0		1		0		0		5		0		5		0		7
Person1		0		1		113		0		8		7		5		0		51		25		32		8		18		8		0		26		0		18		26		2		0		0		0		0		0		4		0		0		6		0		5		0		6
Person1		1		2		291		0		30		8		31		0		118		123		132		36		176		1		0		44		1		39		44		0		0		0		0		0		0		0		0		0		28		0		28		0		30
Person10	11		5		136		0		0		0		20		0		0		34		36		47		68		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person10	8		20		179		0		0		0		20		0		0		44		44		139		200		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person10	12		17		200		0		0		7		17		0		27		80		80		102		140		7		0		7		0		7		7		7		0		0		0		0		0		0		0		0		0		0		0		0		0
Person10	6		21		160		2		0		5		18		0		19		64		64		93		126		7		0		8		0		8		8		5		0		0		2		0		0		0		0		0		0		0		0		0		0
Person10	32		25		297		2		6		9		40		0		48		74		74		76		132		8		1		25		0		17		25		2		0		0		2		0		0		4		1		0		6		0		6		0		6
Person11	18		4		247		7		0		7		0		0		6		20		118		78		152		1		0		23		0		3		23		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person11	34		10		330		8		9		13		0		0		86		77		122		196		400		1		1		42		1		0		42		1		1		1		0		0		0		0		0		6		9		8		7		0		0
Person11	10		5		159		6		2		5		0		0		13		45		60		119		232		0		0		19		0		0		19		0		0		0		0		0		0		0		0		0		2		0		2		0		0
Person11	21		0		237		7		8		22		1		0		57		67		72		40		76		0		0		88		0		4		88		0		0		0		0		0		0		0		0		0		7		0		6		0		0
Person11	6		3		251		10		1		5		0		0		6		30		118		46		92		2		0		25		0		3		25		1		0		0		0		0		0		0		0		0		0		0		0		0		0
Person12	41		0		313		0		17		11		14		0		171		121		130		85		184		27		1		35		1		33		35		10		1		1		0		0		0		17		0		0		15		0		15		0		16
Person12	35		22		411		9		17		22		28		0		419		94		94		252		390		4		57		66		54		66		66		3		19		17		0		9		9		1		16		2		17		4		16		15		17
Person12	58		19		329		4		8		6		30		0		142		58		58		152		368		4		34		35		34		33		35		0		6		6		0		4		4		0		8		1		8		0		8		8		8
Person12	19		19		258		3		0		8		0		0		24		72		72		174		224		8		0		19		0		12		19		8		0		0		0		0		0		0		0		0		0		0		0		0		0
Person12	45		48		471		5		1		31		0		0		135		88		88		76		248		37		0		46		0		42		46		31		0		0		5		0		0		1		0		0		1		0		1		0		1
Person14	2		7		155		0		1		3		14		0		5		20		20		24		92		0		0		11		0		6		11		0		0		0		0		0		0		0		0		0		0		0		0		0		1
Person14	10		3		354		3		9		17		38		0		51		84		84		64		154		0		5		51		6		34		51		0		3		3		0		1		1		0		1		0		0		0		0		2		7
Person14	45		7		540		7		12		36		54		0		83		126		126		74		192		0		0		101		0		65		101		0		0		0		0		0		0		0		0		0		0		0		0		0		10
Person14	33		11		467		14		0		21		40		0		82		206		206		29		76		0		0		45		0		41		45		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person14	27		4		458		4		9		21		44		0		58		122		122		54		190		0		4		59		5		37		59		0		3		3		0		1		1		0		0		0		0		0		0		1		6
Person15	23		6		480		3		27		33		0		0		198		196		196		185		904		63		0		106		0		65		106		33		0		0		3		0		0		27		0		0		8		0		8		0		27
Person15	32		23		463		5		1		60		0		0		214		231		238		295		598		66		0		78		0		69		78		60		0		0		5		0		0		1		0		0		1		0		1		0		1
Person15	6		22		305		1		6		41		0		0		127		92		98		200		526		48		0		60		0		49		60		41		0		0		1		0		0		6		0		0		1		0		1		0		6
Person15	37		14		452		1		1		57		0		0		162		202		220		190		626		60		0		79		0		63		79		56		0		0		1		0		0		1		0		0		1		0		1		0		1
Person15	22		70		1045		1		14		85		1		0		299		354		370		438		1184		98		0		121		0		99		121		84		0		0		1		0		0		13		0		0		6		0		6		0		13
Person16	134		39		870		0		8		14		67		0		96		126		126		382		706		19		0		25		0		24		25		13		0		0		0		0		0		6		0		0		6		0		6		0		8
Person16	190		73		1435		8		23		34		163		0		322		236		236		494		780		41		0		95		0		75		95		23		0		0		8		0		0		10		0		0		23		0		23		0		23
Person16	46		21		390		2		5		7		46		0		63		42		42		246		546		14		0		21		0		14		21		7		0		0		2		0		0		5		0		0		4		2		4		0		5
Person16	109		58		1107		3		19		27		104		0		245		170		170		423		780		34		0		69		0		54		69		25		0		0		3		0		0		6		0		0		18		0		18		0		18
Person16	49		72		1515		2		3		50		188		0		155		120		120		682		1184		39		0		99		1		64		99		34		0		0		2		0		0		3		0		0		1		0		1		0		3
Person17	0		19		218		3		0		1		28		0		2		94		94		102		172		0		0		8		0		4		8		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person17	13		6		164		1		10		8		27		0		97		62		62		35		72		0		0		20		0		20		20		0		0		0		0		0		0		0		0		0		10		0		10		0		10
Person17	0		6		142		1		0		7		32		0		3		8		8		32		60		0		0		20		0		9		20		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person17	10		3		345		0		11		21		57		0		380		134		134		53		124		0		0		64		0		48		64		0		0		0		0		0		0		0		0		0		11		0		11		0		11
Person17	9		3		149		1		4		5		20		0		28		40		40		67		88		0		0		14		0		8		14		0		0		0		0		0		0		0		0		0		4		0		4		0		4
Person2		53		0		343		0		9		5		0		0		38		144		144		41		132		2		0		13		0		6		13		0		0		0		0		0		0		2		0		2		8		2		8		0		2
Person2		81		0		350		1		11		4		0		0		62		94		102		37		170		5		2		20		1		7		20		0		2		1		0		0		0		5		0		4		4		4		4		0		5
Person2		72		0		465		2		13		22		0		0		52		159		214		152		386		4		0		40		0		10		40		0		0		0		1		0		0		3		0		3		8		3		7		0		3
Person2		52		0		362		0		6		6		0		0		36		77		106		41		140		4		0		16		0		5		16		0		0		0		0		0		0		4		0		4		4		4		4		0		4
Person2		62		0		335		1		9		8		0		0		41		98		112		29		106		3		0		23		0		2		23		1		0		0		1		0		0		1		0		1		9		1		9		0		1
Person20	3		14		264		0		0		8		36		0		21		32		32		55		82		8		0		8		0		8		8		8		0		0		0		0		0		0		0		0		0		0		0		0		0
Person20	1		3		425		7		4		19		77		0		59		112		150		45		132		22		0		45		0		32		45		16		0		0		5		0		0		1		0		0		2		0		2		0		4
Person20	0		3		158		0		0		1		18		0		1		91		96		19		96		1		0		2		0		1		2		1		0		0		0		0		0		0		0		0		0		0		0		0		0
Person20	8		0		119		0		0		2		9		0		2		50		50		2		22		2		0		3		0		2		3		2		0		0		0		0		0		0		0		0		0		0		0		0		0
Person20	0		7		154		3		0		5		23		0		18		46		46		28		48		8		0		20		0		10		20		5		0		0		3		0		0		0		0		0		0		0		0		0		0
Person21	43		1		725		0		20		19		0		0		207		185		194		188		258		36		0		42		0		29		42		16		0		0		0		0		0		20		0		0		14		0		14		0		10
Person21	6		6		378		2		6		8		0		0		59		114		116		60		184		9		0		21		1		8		21		4		0		1		0		0		0		5		0		0		5		0		5		0		0
Person21	41		8		914		2		10		21		0		0		111		232		238		185		350		18		0		40		1		17		40		9		0		1		0		0		0		9		0		0		9		0		9		0		3
Person21	11		4		398		1		0		9		1		0		30		161		174		103		150		6		0		15		0		8		15		5		0		0		1		0		0		0		0		0		0		0		0		0		0
Person21	46		75		880		1		21		27		0		0		121		231		326		351		802		47		0		61		0		37		61		26		0		0		1		0		0		19		0		0		2		0		3		0		12
Person22	1		0		35		1		0		0		0		0		0		0		18		3		18		0		0		2		0		0		2		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person22	4		1		67		1		0		0		0		0		4		6		10		7		14		1		0		1		0		1		1		0		0		0		1		0		0		0		0		0		0		0		0		0		0
Person22	1		0		175		0		2		8		1		0		2		3		36		7		68		0		0		13		0		5		13		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person22	8		1		249		1		3		11		0		0		63		62		128		41		54		14		0		26		0		17		26		10		0		0		0		0		0		3		0		0		1		0		1		0		3
Person22	6		0		75		1		2		3		0		0		19		14		24		4		32		6		0		12		0		6		12		3		0		0		1		0		0		2		0		0		1		0		1		0		2
Person4		16		15		345		0		8		6		0		0		102		70		70		588		1148		13		0		15		0		14		15		5		0		0		0		0		0		8		0		0		8		0		8		0		8
Person4		61		50		734		0		8		11		0		0		140		158		158		1966		4064		19		0		29		0		22		29		11		0		0		0		0		0		8		0		1		8		1		8		0		8
Person4		117		53		1051		1		14		32		0		0		314		300		300		2020		4168		47		0		71		0		63		71		32		0		0		1		0		0		14		0		0		14		2		14		0		14
Person4		94		34		874		7		25		17		0		0		306		357		358		1428		2812		46		3		58		0		51		58		17		2		0		7		0		0		22		1		1		25		0		25		0		25
Person4		16		22		313		0		0		4		0		0		26		44		44		906		1816		7		0		15		0		9		15		4		0		0		0		0		0		0		0		0		0		0		0		0		0
Person5		10		1		132		0		0		1		9		0		0		0		38		8		40		0		0		2		0		1		2		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person5		7		1		110		0		7		2		17		0		7		0		28		3		16		0		0		9		0		9		9		0		0		0		0		0		0		0		0		0		0		0		0		0		7
Person5		8		2		164		0		7		4		22		0		6		0		66		6		46		0		0		11		0		11		11		0		0		0		0		0		0		0		0		0		0		0		0		0		7
Person5		4		1		135		4		0		8		16		0		0		0		34		17		30		0		0		24		0		12		24		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person5		10		1		100		0		0		1		6		0		0		0		36		3		78		0		0		1		0		1		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0
Person7		40		4		419		5		5		26		55		0		61		68		76		36		132		12		0		63		0		36		63		7		0		0		1		0		0		4		0		0		0		0		0		0		5
Person7		4		11		309		0		4		13		56		0		35		42		42		69		154		11		0		39		0		20		39		10		0		0		0		0		0		1		0		0		0		0		0		0		4
Person7		22		7		836		0		10		17		96		0		98		184		190		119		326		6		0		35		0		29		35		4		0		0		0		0		0		2		0		0		7		0		7		0		10
Person7		12		4		175		1		0		12		32		0		14		22		22		35		78		8		0		25		0		13		25		8		0		0		0		0		0		0		0		0		0		0		0		0		0
Person7		33		8		230		0		1		6		17		0		15		22		22		23		44		4		0		13		0		9		13		3		0		0		0		0		0		1		0		0		0		0		0		0		1
Person8		0		30		307		1		3		14		0		0		64		60		60		133		206		18		0		19		0		17		19		14		0		0		1		0		0		3		0		0		1		0		1		0		3
Person8		3		71		950		11		6		63		0		0		381		254		258		417		754		82		0		203		0		113		203		63		0		0		11		0		0		6		0		0		2		0		2		0		6
Person8		6		42		412		1		10		6		0		0		136		92		92		313		568		17		0		30		0		21		30		6		0		0		1		0		0		10		0		0		10		0		10		0		10
Person8		0		31		345		0		4		10		0		0		66		86		94		210		326		14		0		27		0		19		27		10		0		0		0		0		0		4		0		0		0		0		0		0		4
Person8		0		26		264		2		7		3		0		0		60		62		62		115		222		12		0		16		0		12		16		3		0		0		2		0		0		7		0		0		3		0		3		0		7
Person9		0		5		299		2		0		14		0		0		50		64		64		80		282		16		0		29		0		22		29		14		0		0		2		0		0		0		0		0		0		0		0		0		0
Person9		0		18		595		6		10		19		0		0		198		78		78		155		240		36		0		63		0		49		63		19		0		0		6		0		0		10		0		0		7		0		7		0		10
Person9		1		0		165		2		3		2		0		0		38		68		68		33		48		7		0		9		0		7		9		2		0		0		2		0		0		3		0		0		3		0		3		0		3
Person9		2		1		251		0		10		16		0		0		123		42		44		82		120		26		0		49		0		27		49		16		0		0		0		0		0		10		0		0		4		0		4		0		10
Person9		0		0		138		3		5		0		0		0		45		40		40		25		66		8		0		10		0		8		10		0		0		0		3		0		0		5		0		0		4		1		4		0		5










Ilan	27		7		348		3		11		27		0		0		125		146		146		136		274		0		28		53		14		14		53		0		23		11		0		2		2		0		3		1		3		1		3		1		0
Ilan	27		2		182		2		8		10		0		0		111		88		88		86		180		4		7		31		5		12		31		0		5		2		0		1		1		0		0		0		5		2		5		0		0
